Temperature,Rainfall(mm),Surface Pressure,Wind speed,Humidity,STORAGE(P),DAM LEVEL(FT),DRAIN_LEVEL(INCH),Consequence,infrastructure
23.12,0.04,100.88,4.28,53.96,995,131.1769985,15.59284788,NO FLOOD,2
31.54,3.82,100.17,2.32,68.6,995,131.1769985,14.52676529,NO FLOOD,2
31.72,0.9,99.77,4.88,69.08,995,131.1769985,15.03445911,NO FLOOD,2
26.54,0.06,100.13,3.91,68.36,995,131.1769985,15.59763946,NO FLOOD,2
28.32,0.06,99.81,5.34,68.12,995,131.1769985,14.3703196,NO FLOOD,2
29.52,1.21,100.18,3.66,69.84,995,131.1769985,14.48551188,NO FLOOD,2
27.2,1.64,100.47,2.4,69.32,995,131.1769985,14.66652306,NO FLOOD,2
26.28,4.31,100.48,5.02,71.28,995,131.1769985,14.75099214,NO FLOOD,2
24.94,0.05,100.76,5.1,61.76,995,131.1769985,14.35065262,NO FLOOD,2
31.89,0.02,100.02,6.16,73.96,0,123.6038291,14.48097415,NO FLOOD,2
31.54,0.05,99.96,5.41,69.32,0,123.6038291,15.89889972,NO FLOOD,2
31.14,0.69,100.24,4.66,60.8,0,123.6038291,14.36528587,NO FLOOD,2
28.46,6.75,100.11,4.44,69.08,0,123.6038291,16.07604709,FLOOD,2
27.83,9.89,100.17,4.36,70.08,0,123.6038291,16.12985499,FLOOD,2
26.96,1.32,100.12,2.19,74.72,150,124.745513,14.52089928,NO FLOOD,2
25.79,9.7,100.63,4.22,72.04,460,127.1049929,16.11679236,FLOOD,2
24.4,2.3,100.96,4.98,62,480,127.2572174,14.11010593,NO FLOOD,2
24.43,0.01,100.83,4.8,61.52,758,129.3731381,15.58790195,NO FLOOD,2
31.32,0.04,99.99,5.82,72.76,386,126.5417622,14.99429551,NO FLOOD,2
33.17,0.01,99.78,4.6,59.8,50,123.9843904,14.97987069,NO FLOOD,2
30.23,1.54,99.79,5.67,56.4,41,123.9158894,14.72010019,NO FLOOD,2
27.68,2.39,99.77,6.55,64.96,50,123.9843904,14.6459492,NO FLOOD,2
29.8,0.25,99.75,4.43,62.48,39,123.9006669,14.61338358,NO FLOOD,2
26.12,0.58,100.54,5.73,66.88,449,127.0212694,14.21372373,NO FLOOD,2
25.3,5.59,100.09,8.62,73.24,836,129.9668137,14.36166625,NO FLOOD,2
25.05,0.01,100.5,3.54,63.96,971,130.9943291,14.29957921,NO FLOOD,2
28.15,1.89,100.55,3.64,71.04,443,126.975602,14.83163217,NO FLOOD,2
34.55,0.06,99.6,5.44,60.32,122,124.5323987,15.41509087,NO FLOOD,2
31.15,0.23,99.83,4.34,63.24,49,123.9767792,15.17549251,NO FLOOD,2
29.23,1.98,100.12,4.39,61.76,26,123.801721,15.46897164,NO FLOOD,2
27.68,3.64,99.85,5.31,65.44,45,123.9463343,14.99647365,NO FLOOD,2
25.9,0.03,100.68,5.27,59.56,67,124.1137812,14.54998671,NO FLOOD,2
24.3,2.84,100.71,6.11,67.12,2539,142.9287307,14.20847036,NO FLOOD,2
30.41,2.92,100.16,5.46,70.8,2017,138.955671,15.43304909,NO FLOOD,2
30.2,2.47,100.17,5.53,67.64,1627,135.987293,14.9758281,NO FLOOD,2
31.05,1.81,100.07,2.91,63.24,1308,133.5593121,15.50502319,NO FLOOD,2
29.02,4.01,100.11,3.83,65.2,942,130.7736036,15.65889493,NO FLOOD,2
28.65,1.54,100.2,3.93,70.56,623,128.3456226,14.87612249,NO FLOOD,2
27.05,8.68,100.23,2.19,72.04,424,126.8309888,16.40099632,FLOOD,2
26.18,7.29,100.2,3.31,75.92,153,124.7683466,16.19937451,FLOOD,2
30.8,0.38,100.21,5.79,70.56,0,123.6038291,15.28199053,NO FLOOD,2
32.58,0.1,99.95,3.67,71.76,0,123.6038291,15.78334074,NO FLOOD,2
27.7,0.21,100.07,5.05,71.52,0,123.6038291,14.69336971,NO FLOOD,2
29.63,0.15,100.06,4.23,68.6,0,123.6038291,14.42661446,NO FLOOD,2
28.9,0.35,100.18,3.65,71.76,0,123.6038291,14.18138496,NO FLOOD,2
