Temperature,Rainfall(mm),Surface Pressure,Wind speed,Humidity,STORAGE(P),DAM LEVEL(FT),DRAIN_LEVEL(INCH),Consequence,infrastructure
24.53,13.73,100.59,3.59,66.88,951,130.8421046,15.22171396,NO FLOOD,2
27.55,18.17,100.16,2.19,74.96,128,124.578066,16.46938412,FLOOD,2
25.62,11.12,100.81,5.65,68.36,437,126.9299347,15.46639275,NO FLOOD,2
27.05,20.76,100.54,3.2,72.52,0,123.6038291,16.18244737,NO FLOOD,2
27.08,11.7,100.18,3.72,79.12,449,127.0212694,15.70966815,NO FLOOD,2
28.57,15.85,99.88,4.48,67.88,545,127.751947,16.74736007,FLOOD,2
26.94,12.41,100.06,3.9,70.8,10,123.6799414,15.49184438,NO FLOOD,2
24.96,18.2,100.56,6.44,69.32,2121,139.7472384,16.28166951,NO FLOOD,2
33.21,14.19,99.7,4.42,73.24,545,127.751947,15.54646874,NO FLOOD,2
27.26,12.41,99.64,4.73,74.2,2241,140.6605855,15.14072072,NO FLOOD,2
26.5,15.11,100.35,3.55,72.28,1416,134.3813244,16.89669293,FLOOD,2
27.56,17.97,100.29,3.89,70.08,656,128.5967931,16.51596286,FLOOD,2
27.57,12.01,100.03,4.93,74.2,0,123.6038291,15.32585764,NO FLOOD,2
28.87,11.6,99.8,3.9,70.08,3,123.6266628,15.35131541,NO FLOOD,2
30.02,17.75,100.1,4.41,81.56,236,125.4000784,16.43001274,FLOOD,2
26.26,17.14,100.5,2.39,73,2265,140.8432549,16.83155025,FLOOD,2
26.79,18.76,99.98,5.22,74.72,200,125.1260742,16.19926066,NO FLOOD,3
29.12,13.8,100.03,4.12,74.72,695,128.8936309,15.43086824,NO FLOOD,3
27.65,18.73,100.02,4.21,74.96,180,124.9738497,16.79725035,NO FLOOD,3
26.02,20.14,100.09,3.74,74.48,1795,137.2659789,16.25023724,NO FLOOD,3
26.19,12.57,99.96,7.84,74.48,695,128.8936309,15.68726945,NO FLOOD,3
29.53,13.74,100.27,2.98,72.76,52,123.9996129,15.64911791,NO FLOOD,3
27.02,20.11,100.56,3.95,75.2,70,124.1366149,16.79926213,NO FLOOD,3
27.89,16.03,100.21,2.37,78.36,27,123.8093322,16.62424946,NO FLOOD,3
26.41,17.28,100.47,3.99,73,695,128.8936309,16.41422493,NO FLOOD,3
25.75,20.58,100.81,3.3,70.32,1426,134.4574367,16.70188853,NO FLOOD,3
