Temperature,Rainfall(mm),Surface Pressure,Wind speed,Humidity,STORAGE(P),DAM LEVEL(FT),DRAIN_LEVEL(INCH),Consequence,infrastructure
23.36,0,100.82,3.52,47.36,995,131.1769985,11.00937644,NO BLOCKAGE,2
27.13,0,100.54,3.47,59.32,995,131.1769985,5.214254145,NO BLOCKAGE,2
30.98,0,100.11,6.4,59.08,995,131.1769985,8.580694962,NO BLOCKAGE,2
23.83,0,100.89,3.49,53.24,441,126.9603796,12.64224264,DRAINAGE BLOCKED,2
26.79,0,100.56,3.91,52.72,58,124.0452802,8.631420097,NO BLOCKAGE,2
28.44,0,100.74,4.16,57.88,0,123.6038291,11.30822442,NO BLOCKAGE,2
29.82,0,100.55,3.68,56.16,0,123.6038291,6.597688864,NO BLOCKAGE,2
24.88,0,100.59,4.42,57.88,563,127.8889491,13.02533694,DRAINAGE BLOCKED,2
24.76,0,100.75,4.31,57.12,620,128.3227889,12.05009205,DRAINAGE BLOCKED,2
28.24,0,100.37,3.8,66.16,568,127.9270052,12.42903838,DRAINAGE BLOCKED,2
26.08,0,100.51,3.17,45.4,614,128.2771216,12.74437659,DRAINAGE BLOCKED,2
22.57,0,100.78,3.77,51.76,2752,144.5499217,10.71286091,NO BLOCKAGE,2
23.41,0,100.56,2.22,53.24,2752,144.5499217,7.044258598,NO BLOCKAGE,2
25.36,0,100.64,2.9,59.08,2662,143.8649114,11.88299257,NO BLOCKAGE,2
29.22,0,100.28,5.2,66.16,2287,141.0107018,6.346504095,NO BLOCKAGE,2
23.5,0,100.85,4.5,51.52,418,126.7853214,12.09749146,DRAINAGE BLOCKED,2
24.21,0,100.87,4.8,50.28,54,124.0148353,8.742467146,NO BLOCKAGE,2
26.8,0,100.77,3.66,55.4,0,123.6038291,12.81214902,DRAINAGE BLOCKED,2
28.92,0,100.42,3.78,56.16,0,123.6038291,9.785459853,NO BLOCKAGE,2
23.88,0,100.72,3.4,56.88,711,129.0154105,11.41777377,NO BLOCKAGE,2
28.04,0,100.4,3.69,68.36,511,127.4931654,13.69245545,DRAINAGE BLOCKED,2
23.37,0,100.94,3.79,52.72,509,127.4779429,13.09167395,DRAINAGE BLOCKED,2
23.31,0,100.87,3.22,46.4,556,127.8356705,9.212625282,NO BLOCKAGE,2
26.55,0,100.58,2.73,43.96,373,126.4428163,9.963671109,NO BLOCKAGE,2
29.28,0,100.44,3.79,55.4,149,124.7379017,9.172462778,NO BLOCKAGE,2
23.67,0,100.77,2.43,52.96,354,126.298203,11.77462465,NO BLOCKAGE,2
28.19,0,100.51,4.15,62.24,121,124.5247874,11.10881715,NO BLOCKAGE,2
30.5,0,100.33,4.73,64.2,0,123.6038291,8.375480231,NO BLOCKAGE,2
24.61,0,100.6,3.41,62.76,699,128.9240758,7.67149252,NO BLOCKAGE,2
27.8,0,100.65,3.87,57.36,321,126.0470325,9.192327481,NO BLOCKAGE,2
35.33,0,99.75,5.27,63.48,0,123.6038291,7.166290521,NO BLOCKAGE,2
23.58,0,100.78,1.89,55.4,2752,144.5499217,9.049042772,NO BLOCKAGE,2
25.33,0,100.66,2.06,53.24,2667,143.9029675,13.64011016,DRAINAGE BLOCKED,2
26.55,0,100.74,2.6,50.28,2392,141.8098805,10.79231578,NO BLOCKAGE,2
29.1,0,100.44,4.08,57.36,1883,137.9357667,8.070129341,NO BLOCKAGE,2
22.15,0,101.23,4.33,49.08,260,125.5827478,8.609538638,NO BLOCKAGE,2
24.05,0,101.13,3.81,50.52,59,124.0528914,9.337990307,NO BLOCKAGE,2
